timestamp,power,cadence
2026-04-22 07:44:43,,
2026-04-22 07:44:44,0,0
2026-04-22 07:44:45,0,0
2026-04-22 07:44:46,0,0
2026-04-22 07:44:47,0,14
2026-04-22 07:44:48,0,64
2026-04-22 07:44:49,0,70
2026-04-22 07:44:50,0,71
2026-04-22 07:44:51,1,72
2026-04-22 07:44:52,7,72
2026-04-22 07:44:53,19,70
2026-04-22 07:44:54,22,63
2026-04-22 07:44:55,30,58
2026-04-22 07:44:56,38,53
2026-04-22 07:44:57,38,56
2026-04-22 07:44:58,46,57
2026-04-22 07:44:59,50,63
2026-04-22 07:45:00,51,65
2026-04-22 07:45:01,51,67
2026-04-22 07:45:02,46,67
2026-04-22 07:45:03,46,67
2026-04-22 07:45:04,47,67
2026-04-22 07:45:05,43,67
2026-04-22 07:45:06,50,67
2026-04-22 07:45:07,53,67
2026-04-22 07:45:08,43,66
2026-04-22 07:45:09,44,67
2026-04-22 07:45:10,44,65
2026-04-22 07:45:11,41,65
2026-04-22 07:45:12,43,64
2026-04-22 07:45:13,43,62
2026-04-22 07:45:14,44,63
2026-04-22 07:45:15,45,63
2026-04-22 07:45:16,46,63
2026-04-22 07:45:17,46,64
2026-04-22 07:45:18,42,64
2026-04-22 07:45:19,42,64
2026-04-22 07:45:20,45,64
2026-04-22 07:45:21,47,64
2026-04-22 07:45:22,48,64
2026-04-22 07:45:23,46,64
2026-04-22 07:45:24,46,63
2026-04-22 07:45:25,54,64
2026-04-22 07:45:26,54,65
2026-04-22 07:45:27,42,68
2026-04-22 07:45:28,44,67
2026-04-22 07:45:29,53,65
2026-04-22 07:45:30,52,65
2026-04-22 07:45:31,56,67
2026-04-22 07:45:32,53,70
2026-04-22 07:45:33,50,70
2026-04-22 07:45:34,50,70
2026-04-22 07:45:35,52,69
2026-04-22 07:45:36,53,70
2026-04-22 07:45:37,48,70
2026-04-22 07:45:38,46,70
2026-04-22 07:45:39,48,67
2026-04-22 07:45:40,51,67
2026-04-22 07:45:41,52,67
2026-04-22 07:45:42,49,68
2026-04-22 07:45:43,50,68
2026-04-22 07:45:44,50,68
2026-04-22 07:45:45,44,68
2026-04-22 07:45:46,41,68
2026-04-22 07:45:47,43,70
2026-04-22 07:45:48,47,69
2026-04-22 07:45:49,49,69
2026-04-22 07:45:50,52,69
2026-04-22 07:45:51,58,68
2026-04-22 07:45:52,54,71
2026-04-22 07:45:53,51,70
2026-04-22 07:45:54,61,69
2026-04-22 07:45:55,58,71
2026-04-22 07:45:56,52,74
2026-04-22 07:45:57,48,73
2026-04-22 07:45:58,45,71
2026-04-22 07:45:59,53,71
2026-04-22 07:46:00,59,70
2026-04-22 07:46:01,59,71
2026-04-22 07:46:02,53,73
2026-04-22 07:46:03,49,71
2026-04-22 07:46:04,48,71
2026-04-22 07:46:05,46,72
2026-04-22 07:46:06,51,73
2026-04-22 07:46:07,56,72
2026-04-22 07:46:08,55,72
2026-04-22 07:46:09,57,72
2026-04-22 07:46:10,53,73
2026-04-22 07:46:11,51,73
2026-04-22 07:46:12,59,72
2026-04-22 07:46:13,59,73
2026-04-22 07:46:14,50,75
2026-04-22 07:46:15,48,74
2026-04-22 07:46:16,51,72
2026-04-22 07:46:17,56,71
2026-04-22 07:46:18,58,73
2026-04-22 07:46:19,52,76
2026-04-22 07:46:20,45,74
2026-04-22 07:46:21,45,71
2026-04-22 07:46:22,52,69
2026-04-22 07:46:23,57,70
2026-04-22 07:46:24,55,71
2026-04-22 07:46:25,51,72
2026-04-22 07:46:26,47,71
2026-04-22 07:46:27,47,69
2026-04-22 07:46:28,49,69
2026-04-22 07:46:29,52,69
2026-04-22 07:46:30,55,70
2026-04-22 07:46:31,55,72
2026-04-22 07:46:32,52,72
2026-04-22 07:46:33,50,72
2026-04-22 07:46:34,50,72
2026-04-22 07:46:35,48,72
2026-04-22 07:46:36,44,72
2026-04-22 07:46:37,49,70
2026-04-22 07:46:38,55,69
2026-04-22 07:46:39,57,69
2026-04-22 07:46:40,77,67
2026-04-22 07:46:41,111,67
2026-04-22 07:46:42,128,67
2026-04-22 07:46:43,132,68
2026-04-22 07:46:44,134,70
2026-04-22 07:46:45,130,72
2026-04-22 07:46:46,126,72
2026-04-22 07:46:47,122,72
2026-04-22 07:46:48,107,72
2026-04-22 07:46:49,87,74
2026-04-22 07:46:50,71,74
2026-04-22 07:46:51,60,75
2026-04-22 07:46:52,58,75
2026-04-22 07:46:53,55,74
2026-04-22 07:46:54,54,74
2026-04-22 07:46:55,61,74
2026-04-22 07:46:56,61,76
2026-04-22 07:46:57,54,76
2026-04-22 07:46:58,51,75
2026-04-22 07:46:59,49,75
2026-04-22 07:47:00,56,74
2026-04-22 07:47:01,63,75
2026-04-22 07:47:02,60,77
2026-04-22 07:47:03,53,77
2026-04-22 07:47:04,47,76
2026-04-22 07:47:05,46,76
2026-04-22 07:47:06,50,74
2026-04-22 07:47:07,54,73
2026-04-22 07:47:08,55,73
2026-04-22 07:47:09,50,74
2026-04-22 07:47:10,47,73
2026-04-22 07:47:11,54,72
2026-04-22 07:47:12,62,74
2026-04-22 07:47:13,65,75
2026-04-22 07:47:14,57,77
2026-04-22 07:47:15,46,77
2026-04-22 07:47:16,50,76
2026-04-22 07:47:17,48,76
2026-04-22 07:47:18,42,75
2026-04-22 07:47:19,54,71
2026-04-22 07:47:20,53,74
2026-04-22 07:47:21,47,73
2026-04-22 07:47:22,53,73
2026-04-22 07:47:23,52,73
2026-04-22 07:47:24,53,74
2026-04-22 07:47:25,50,74
2026-04-22 07:47:26,47,74
2026-04-22 07:47:27,50,73
2026-04-22 07:47:28,51,73
2026-04-22 07:47:29,50,73
2026-04-22 07:47:30,50,73
2026-04-22 07:47:31,50,74
2026-04-22 07:47:32,52,74
2026-04-22 07:47:33,56,73
2026-04-22 07:47:34,54,74
2026-04-22 07:47:35,47,75
2026-04-22 07:47:36,56,75
2026-04-22 07:47:37,58,74
2026-04-22 07:47:38,41,76
2026-04-22 07:47:39,42,69
2026-04-22 07:47:40,57,71
2026-04-22 07:47:41,58,73
2026-04-22 07:47:42,55,74
2026-04-22 07:47:43,51,77
2026-04-22 07:47:44,54,77
2026-04-22 07:47:45,52,76
2026-04-22 07:47:46,48,75
2026-04-22 07:47:47,46,74
2026-04-22 07:47:48,53,73
2026-04-22 07:47:49,61,74
2026-04-22 07:47:50,56,75
2026-04-22 07:47:51,60,75
2026-04-22 07:47:52,51,74
2026-04-22 07:47:53,47,73
2026-04-22 07:47:54,47,72
2026-04-22 07:47:55,48,72
2026-04-22 07:47:56,60,76
2026-04-22 07:47:57,66,77
2026-04-22 07:47:58,59,79
2026-04-22 07:47:59,45,80
2026-04-22 07:48:00,42,77
2026-04-22 07:48:01,44,75
2026-04-22 07:48:02,42,74
2026-04-22 07:48:03,47,72
2026-04-22 07:48:04,52,71
2026-04-22 07:48:05,52,72
2026-04-22 07:48:06,52,73
2026-04-22 07:48:07,50,74
2026-04-22 07:48:08,53,74
2026-04-22 07:48:09,59,76
2026-04-22 07:48:10,57,78
2026-04-22 07:48:11,54,79
2026-04-22 07:48:12,51,79
2026-04-22 07:48:13,48,78
2026-04-22 07:48:14,50,76
2026-04-22 07:48:15,56,74
2026-04-22 07:48:16,54,75
2026-04-22 07:48:17,46,75
2026-04-22 07:48:18,49,74
2026-04-22 07:48:19,53,74
2026-04-22 07:48:20,50,75
2026-04-22 07:48:21,51,74
2026-04-22 07:48:22,48,73
2026-04-22 07:48:23,46,70
2026-04-22 07:48:24,51,68
2026-04-22 07:48:25,53,69
2026-04-22 07:48:26,51,71
2026-04-22 07:48:27,49,71
